Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2009-05-22,30200,30200,31150,29950,1977304,015760,한국전력공사,-350.0,-1.1456628477905073
2009-05-25,29950,29850,30300,27000,1937381,015760,한국전력공사,-250.0,-0.8278145695364238
2009-05-26,29050,29750,29900,28500,2196253,015760,한국전력공사,-900.0,-3.005008347245409
2009-05-27,28450,29100,29250,28200,1755368,015760,한국전력공사,-600.0,-2.0654044750430294
2009-05-28,28550,28050,28600,27600,1877791,015760,한국전력공사,100.0,0.35149384885764495
2009-05-29,28350,28100,28500,27750,1798448,015760,한국전력공사,-200.0,-0.7005253940455342
2009-06-01,29050,28400,29350,28150,2075074,015760,한국전력공사,700.0,2.4691358024691357
2009-06-02,28600,29350,29400,28450,2234508,015760,한국전력공사,-450.0,-1.549053356282272
2009-06-03,28000,28700,28800,27950,1869892,015760,한국전력공사,-600.0,-2.097902097902098
2009-06-04,27550,27800,28550,27500,2938263,015760,한국전력공사,-450.0,-1.607142857142857
2009-06-05,29050,29000,29100,28750,4516739,015760,한국전력공사,1500.0,5.44464609800363
2009-06-08,29400,29050,30350,28950,3776416,015760,한국전력공사,350.0,1.2048192771084338
2009-06-09,28950,29700,29900,28950,1915878,015760,한국전력공사,-450.0,-1.530612244897959
2009-06-10,30350,29000,30450,29000,2308961,015760,한국전력공사,1400.0,4.8359240069084635
2009-06-11,30300,30300,31050,29900,3007601,015760,한국전력공사,-50.0,-0.16474464579901155
2009-06-12,30600,30800,30800,29900,1201803,015760,한국전력공사,300.0,0.9900990099009901
2009-06-15,30200,30300,30500,29750,1195172,015760,한국전력공사,-400.0,-1.3071895424836601
2009-06-16,29850,29800,29950,29550,1181431,015760,한국전력공사,-350.0,-1.1589403973509933
2009-06-17,29200,29450,29450,29050,1002671,015760,한국전력공사,-650.0,-2.1775544388609713
2009-06-18,28850,28950,29050,28550,1512976,015760,한국전력공사,-350.0,-1.1986301369863013
2009-06-19,29000,28850,29000,28250,1363169,015760,한국전력공사,150.0,0.5199306759098787
2009-06-22,29700,28700,29850,28650,1257938,015760,한국전력공사,700.0,2.413793103448276
2009-06-23,28650,29150,29150,28600,1031550,015760,한국전력공사,-1050.0,-3.535353535353535
2009-06-24,29000,28650,29350,28450,1298759,015760,한국전력공사,350.0,1.2216404886561953
2009-06-25,29400,29050,29900,28950,1448740,015760,한국전력공사,400.0,1.3793103448275863
2009-06-26,29500,29450,30100,28950,1743738,015760,한국전력공사,100.0,0.3401360544217687
2009-06-29,29500,29900,30400,29500,955814,015760,한국전력공사,0.0,0.0
